,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
MYC340.fa,GCA_000069185.1.fa,14.00,[11.2 - 17.4%],0.9228,0,19.30,[17.1 - 21.7%],0.2282,0,14.20,[11.8 - 17.1%],0.9404,0,3.49
MYC340.fa,GCF_000014985.1.fa,19.10,[16 - 22.7%],0.7368,0,20.90,[18.7 - 23.3%],0.2099,0,18.60,[15.9 - 21.6%],0.7921,0,1.35
MYC340.fa,GCF_000157895.3.fa,16.00,[13 - 19.5%],0.8390,0,19.90,[17.7 - 22.3%],0.2209,0,16.00,[13.4 - 18.9%],0.8746,0,1.40
MYC340.fa,GCF_000195955.2.fa,15.80,[12.8 - 19.2%],0.8488,0,20.20,[18 - 22.6%],0.2176,0,15.80,[13.2 - 18.7%],0.8817,0,2.02
MYC340.fa,GCF_000214155.1.fa,48.80,[45.4 - 52.2%],0.3161,10.05,27.90,[25.5 - 30.3%],0.1547,0.04,42.40,[39.4 - 45.4%],0.4219,0.3,0.74
MYC340.fa,GCF_001021505.1.fa,46.00,[42.7 - 49.5%],0.3379,6.15,28.40,[26 - 30.9%],0.1514,0.05,40.70,[37.7 - 43.7%],0.4381,0.17,0.23
MYC340.fa,GCF_001044245.1.fa,16.40,[13.4 - 19.9%],0.8259,0,19.50,[17.3 - 21.9%],0.2259,0,16.20,[13.7 - 19.2%],0.8652,0,0.33
MYC340.fa,GCF_001307545.1.fa,16.60,[13.6 - 20.1%],0.8174,0,19.90,[17.7 - 22.3%],0.2207,0,16.40,[13.9 - 19.4%],0.8577,0,1.41
MYC340.fa,GCF_002086285.1.fa,49.30,[45.9 - 52.7%],0.3123,10.94,28.70,[26.3 - 31.2%],0.1497,0.06,43.10,[40.1 - 46.1%],0.4152,0.38,0.48
MYC340.fa,GCF_002086405.1.fa,38.80,[35.4 - 42.3%],0.4045,1.26,25.50,[23.1 - 27.9%],0.1707,0.01,34.40,[31.4 - 37.5%],0.5062,0.02,0.52
MYC340.fa,GCF_002086455.1.fa,45.40,[42 - 48.8%],0.3436,5.39,27.90,[25.6 - 30.4%],0.1542,0.04,40.00,[37 - 43%],0.4448,0.14,0.70
MYC340.fa,GCF_002086515.1.fa,37.60,[34.2 - 41.1%],0.4176,0.92,25.60,[23.2 - 28%],0.1701,0.01,33.50,[30.6 - 36.6%],0.5166,0.01,0.25
MYC340.fa,GCF_002086715.1.fa,14.40,[11.6 - 17.8%],0.9030,0,19.30,[17.1 - 21.7%],0.2275,0,14.60,[12.2 - 17.5%],0.9251,0,3.05
